service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2022-09-012022-09-30001651,1,1,1,1,1,1,1,20220901,20220930                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-30001653,1,1,1,1,1,1,1,20220901,20220930                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10001901,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10001902,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10001931,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10001932,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10001941,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10001942,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10001971,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10001972,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-30002641,1,1,1,1,1,1,1,20220901,20220930                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-30002643,1,1,1,1,1,1,1,20220901,20220930                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-04002761,1,1,1,1,1,1,1,20220901,20220904                                                                                                                                                                                                                                                                                                    
2022-09-052022-09-11002761,1,1,1,1,1,1,1,20220905,20220911                                                                                                                                                                                                                                                                                                    
2022-09-122022-11-06002761,1,1,1,1,1,1,1,20220912,20221106                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-04002762,1,1,1,1,1,1,1,20220901,20220904                                                                                                                                                                                                                                                                                                    
2022-09-052022-09-11002762,1,1,1,1,1,1,1,20220905,20220911                                                                                                                                                                                                                                                                                                    
2022-09-122022-11-06002762,1,1,1,1,1,1,1,20220912,20221106                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-04002771,1,1,1,1,1,1,1,20220901,20220904                                                                                                                                                                                                                                                                                                    
2022-09-052022-09-12002771,1,1,1,1,1,1,1,20220905,20220912                                                                                                                                                                                                                                                                                                    
2022-09-132022-11-06002771,1,1,1,1,1,1,1,20220913,20221106                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-04002772,1,1,1,1,1,1,1,20220901,20220904                                                                                                                                                                                                                                                                                                    
2022-09-052022-09-12002772,1,1,1,1,1,1,1,20220905,20220912                                                                                                                                                                                                                                                                                                    
2022-09-132022-11-06002772,1,1,1,1,1,1,1,20220913,20221106                                                                                                                                                                                                                                                                                                    
2022-09-012022-11-06002801,1,1,1,1,1,1,1,20220901,20221106                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-08002811,1,1,1,1,1,1,1,20220901,20220908                                                                                                                                                                                                                                                                                                    
2022-09-092022-09-11002811,1,1,1,1,1,1,1,20220909,20220911                                                                                                                                                                                                                                                                                                    
2022-09-122022-11-06002811,1,1,1,1,1,1,1,20220912,20221106                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-08002821,1,1,1,1,1,1,1,20220901,20220908                                                                                                                                                                                                                                                                                                    
2022-09-092022-09-11002821,1,1,1,1,1,1,1,20220909,20220911                                                                                                                                                                                                                                                                                                    
2022-09-122022-11-06002821,1,1,1,1,1,1,1,20220912,20221106                                                                                                                                                                                                                                                                                                    
2022-09-012022-11-06002831,1,1,1,1,1,1,1,20220901,20221106                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10004371,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10004372,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10004373,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10004381,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10004382,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10004383,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-07005301,1,1,1,1,1,1,1,20220901,20220907                                                                                                                                                                                                                                                                                                    
2022-09-082022-09-11005301,1,1,1,1,1,1,1,20220908,20220911                                                                                                                                                                                                                                                                                                    
2022-09-122022-12-10005301,1,1,1,1,1,1,1,20220912,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-07005302,1,1,1,1,1,1,1,20220901,20220907                                                                                                                                                                                                                                                                                                    
2022-09-082022-09-11005302,1,1,1,1,1,1,1,20220908,20220911                                                                                                                                                                                                                                                                                                    
2022-09-122022-12-10005302,1,1,1,1,1,1,1,20220912,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-08005331,1,1,1,1,1,1,1,20220901,20220908                                                                                                                                                                                                                                                                                                    
2022-09-092022-09-12005331,1,1,1,1,1,1,1,20220909,20220912                                                                                                                                                                                                                                                                                                    
2022-09-132022-12-10005331,1,1,1,1,1,1,1,20220913,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-08005332,1,1,1,1,1,1,1,20220901,20220908                                                                                                                                                                                                                                                                                                    
2022-09-092022-09-12005332,1,1,1,1,1,1,1,20220909,20220912                                                                                                                                                                                                                                                                                                    
2022-09-132022-12-10005332,1,1,1,1,1,1,1,20220913,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-12005581,1,1,1,1,1,1,1,20220901,20220912                                                                                                                                                                                                                                                                                                    
2022-09-132022-10-10005581,1,1,1,1,1,1,1,20220913,20221010                                                                                                                                                                                                                                                                                                    
2022-10-122022-10-30005581,1,1,1,1,1,1,1,20221012,20221030                                                                                                                                                                                                                                                                                                    
2022-11-012022-11-14005581,1,1,1,1,1,1,1,20221101,20221114                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-12005601,1,1,1,1,1,1,1,20220901,20220912                                                                                                                                                                                                                                                                                                    
2022-09-132022-10-10005601,1,1,1,1,1,1,1,20220913,20221010                                                                                                                                                                                                                                                                                                    
2022-10-122022-10-30005601,1,1,1,1,1,1,1,20221012,20221030                                                                                                                                                                                                                                                                                                    
2022-11-012022-11-14005601,1,1,1,1,1,1,1,20221101,20221114                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10005621,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10005631,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10006001,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-11006011,1,1,1,1,1,1,1,20220901,20221011                                                                                                                                                                                                                                                                                                    
2022-10-132022-10-21006011,1,1,1,1,1,1,1,20221013,20221021                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-23006021,1,1,1,1,1,1,1,20220901,20221023                                                                                                                                                                                                                                                                                                    
2022-10-242022-12-10006021,1,1,1,1,1,1,1,20221024,20221210                                                                                                                                                                                                                                                                                                    
