route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id                                                                                                                                                                                                                                                                      
7180161307GL026,2022-07-282022-09-14001651,0016512022-07-28,,00165,,,                                                                                                                                                                                                                                                                                         
7180161200GL026,2022-07-282022-09-14001653,0016532022-07-28,,00165,,,                                                                                                                                                                                                                                                                                         
1700037606GL026,2022-07-282022-12-10001901,0019012022-07-28,,00190,,,                                                                                                                                                                                                                                                                                         
3760617000GL026,2022-07-282022-12-10001931,0019312022-07-28,,00193,,,                                                                                                                                                                                                                                                                                         
1700037606GL023,2022-07-282022-12-10001941,0019412022-07-28,,00194,,,                                                                                                                                                                                                                                                                                         
3760617000GL023,2022-07-282022-12-10001971,0019712022-07-28,,00197,,,                                                                                                                                                                                                                                                                                         
6130771801GL026,2022-07-282022-09-14002641,0026412022-07-28,,00264,,,                                                                                                                                                                                                                                                                                         
6120071801GL026,2022-07-282022-09-14002643,0026432022-07-28,,00264,,,                                                                                                                                                                                                                                                                                         
1700056312GL026,2022-07-282022-11-06002761,0027612022-07-28,,00276,,,                                                                                                                                                                                                                                                                                         
1700050300GL026,2022-07-282022-11-06002762,0027622022-07-28,,00276,,,                                                                                                                                                                                                                                                                                         
5631217000GL026,2022-07-282022-11-06002771,0027712022-07-28,,00277,,,                                                                                                                                                                                                                                                                                         
5030017000GL026,2022-07-282022-11-06002772,0027722022-07-28,,00277,,,                                                                                                                                                                                                                                                                                         
1120013200GL026,2022-07-282022-09-30002801,0028012022-07-28,,00280,,,                                                                                                                                                                                                                                                                                         
1151111208GL026,2022-07-282022-09-08002811,0028112022-07-28,,00281,,,                                                                                                                                                                                                                                                                                         
1151111208GL026,2022-09-092022-09-11002811,0028112022-09-09,,00281,,,                                                                                                                                                                                                                                                                                         
1151111208GL026,2022-09-122022-09-30002811,0028112022-09-12,,00281,,,                                                                                                                                                                                                                                                                                         
1120811511GL026,2022-07-282022-09-08002821,0028212022-07-28,,00282,,,                                                                                                                                                                                                                                                                                         
1120811511GL026,2022-09-092022-09-11002821,0028212022-09-09,,00282,,,                                                                                                                                                                                                                                                                                         
1120811511GL026,2022-09-122022-09-30002821,0028212022-09-12,,00282,,,                                                                                                                                                                                                                                                                                         
1320011200GL026,2022-07-282022-09-30002831,0028312022-07-28,,00283,,,                                                                                                                                                                                                                                                                                         
1320071801GL023,2022-07-282022-08-31004371,0043712022-07-28,,00437,,,                                                                                                                                                                                                                                                                                         
1320071801GL023,2022-09-012022-12-10004371,0043712022-09-01,,00437,,,                                                                                                                                                                                                                                                                                         
0404071801GL023,2022-07-282022-08-31004372,0043722022-07-28,,00437,,,                                                                                                                                                                                                                                                                                         
0404071801GL023,2022-09-012022-12-10004372,0043722022-09-01,,00437,,,                                                                                                                                                                                                                                                                                         
1320011200GL023,2022-07-282022-08-31004373,0043732022-07-28,,00437,,,                                                                                                                                                                                                                                                                                         
1320011200GL023,2022-09-012022-12-10004373,0043732022-09-01,,00437,,,                                                                                                                                                                                                                                                                                         
7180113200GL023,2022-07-282022-08-31004381,0043812022-07-28,,00438,,,                                                                                                                                                                                                                                                                                         
7180113200GL023,2022-09-012022-12-10004381,0043812022-09-01,,00438,,,                                                                                                                                                                                                                                                                                         
7180104040GL023,2022-07-282022-08-31004382,0043822022-07-28,,00438,,,                                                                                                                                                                                                                                                                                         
7180104040GL023,2022-09-012022-12-10004382,0043822022-09-01,,00438,,,                                                                                                                                                                                                                                                                                         
1120013200GL023,2022-07-282022-08-31004383,0043832022-07-28,,00438,,,                                                                                                                                                                                                                                                                                         
1120013200GL023,2022-09-012022-12-10004383,0043832022-09-01,,00438,,,                                                                                                                                                                                                                                                                                         
7180111511GL023,2022-07-282022-09-07005301,0053012022-07-28,,00530,,,                                                                                                                                                                                                                                                                                         
7180111511GL023,2022-09-082022-09-11005301,0053012022-09-08,,00530,,,                                                                                                                                                                                                                                                                                         
7180111511GL023,2022-09-122022-12-10005301,0053012022-09-12,,00530,,,                                                                                                                                                                                                                                                                                         
7180111511GL023,2022-07-282022-09-07005302,0053022022-07-28,,00530,,,                                                                                                                                                                                                                                                                                         
7180111511GL023,2022-09-082022-09-11005302,0053022022-09-08,,00530,,,                                                                                                                                                                                                                                                                                         
7180111511GL023,2022-09-122022-12-10005302,0053022022-09-12,,00530,,,                                                                                                                                                                                                                                                                                         
1151171801GL023,2022-07-282022-09-08005331,0053312022-07-28,,00533,,,                                                                                                                                                                                                                                                                                         
1151171801GL023,2022-09-092022-09-12005331,0053312022-09-09,,00533,,,                                                                                                                                                                                                                                                                                         
1151171801GL023,2022-09-132022-12-10005331,0053312022-09-13,,00533,,,                                                                                                                                                                                                                                                                                         
1151178400GL023,2022-07-282022-09-08005332,0053322022-07-28,,00533,,,                                                                                                                                                                                                                                                                                         
1151178400GL023,2022-09-092022-09-12005332,0053322022-09-09,,00533,,,                                                                                                                                                                                                                                                                                         
1151178400GL023,2022-09-132022-12-10005332,0053322022-09-13,,00533,,,                                                                                                                                                                                                                                                                                         
2030922100GL026,2022-07-282022-08-13005581,0055812022-07-28,,00558,,,                                                                                                                                                                                                                                                                                         
2030922100GL026,2022-08-152022-09-12005581,0055812022-08-15,,00558,,,                                                                                                                                                                                                                                                                                         
2030922100GL026,2022-09-132022-10-10005581,0055812022-09-13,,00558,,,                                                                                                                                                                                                                                                                                         
2030922100GL026,2022-10-122022-10-30005581,0055812022-10-12,,00558,,,                                                                                                                                                                                                                                                                                         
2030922100GL026,2022-11-012022-11-14005581,0055812022-11-01,,00558,,,                                                                                                                                                                                                                                                                                         
2210020309GL026,2022-07-282022-08-13005601,0056012022-07-28,,00560,,,                                                                                                                                                                                                                                                                                         
2210020309GL026,2022-08-152022-09-12005601,0056012022-08-15,,00560,,,                                                                                                                                                                                                                                                                                         
2210020309GL026,2022-09-132022-10-10005601,0056012022-09-13,,00560,,,                                                                                                                                                                                                                                                                                         
2210020309GL026,2022-10-122022-10-30005601,0056012022-10-12,,00560,,,                                                                                                                                                                                                                                                                                         
2210020309GL026,2022-11-012022-11-14005601,0056012022-11-01,,00560,,,                                                                                                                                                                                                                                                                                         
7180180100GL026,2022-07-282022-12-10005621,0056212022-07-28,,00562,,,                                                                                                                                                                                                                                                                                         
8010071801GL026,2022-07-282022-08-12005631,0056312022-07-28,,00563,,,                                                                                                                                                                                                                                                                                         
8010071801GL026,2022-08-152022-08-15005631,0056312022-08-15,,00563,,,                                                                                                                                                                                                                                                                                         
8010071801GL026,2022-08-162022-12-10005631,0056312022-08-16,,00563,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-07-282022-12-10006001,0060012022-07-28,,00600,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-08-14006011,0060112022-07-28,,00601,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-08-162022-10-11006011,0060112022-08-16,,00601,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-10-132022-10-21006011,0060112022-10-13,,00601,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-07-282022-10-23006021,0060212022-07-28,,00602,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-10-242022-12-10006021,0060212022-10-24,,00602,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-12-10006031,0060312022-07-28,,00603,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-10-23006051,0060512022-07-28,,00605,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-07-282022-12-10006061,0060612022-07-28,,00606,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-09-022022-10-21006081,0060812022-09-02,,00608,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-10-23006091,0060912022-07-28,,00609,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-10-242022-12-10006091,0060912022-10-24,,00609,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-10-23006092,0060922022-07-28,,00609,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-07-282022-12-10006101,0061012022-07-28,,00610,,,                                                                                                                                                                                                                                                                                         
