airport_id;airport_name;airport_latitude;airport_longitude;airport_city;airport_country_iso;airport_continent_iso
ALV;Andorra la Vella (Our Lady of Meritxell Hospital) Heliport;42,511228;1,533651;Escaldes-Engordany;AD;EU
AGY;Argyle Downs Airport;-16,508604;128,922485;Argyle Downs;AU;OC
ANZ;Angus Downs Airport;-25,0325;132,2748;Angus Downs Station;AU;OC
LYT;Lady Elliot Island Airstrip;-24,1129;152,7156;Lady Elliot Island;AU;OC
GYZ;Gruyere Airport;-28,034548;123,81506;Gruyere Mine village;AU;OC
KQR;Karara Airport;-29,217223;116,687154;Karara;AU;OC
AGW;Agnew Airport;-12,1456;142,149369;Agnew;AU;OC
AYD;Alroy Downs Airport;-19,2908;136,078995;Alroy Downs;AU;OC
BYX;Baniyala Airport;-13,1981;136,227005;Baniyala;AU;OC
COB;Coolibah Airport;-15,548299789428713;130,96200561523438;Coolibah;AU;OC
CRJ;Coorabie Airport;-31,894399642944336;132,29600524902344;Coorabie;AU;OC
CRY;Carlton Hill Airport;-15,50189971923828;128,53399658203125;Carlton Hill;AU;OC
CSD;Cresswell Downs Airport;-17,947999954223633;135,91600036621094;Cresswell Downs;AU;OC
DYM;Diamantina Lakes Airport;-23,761699676513672;141,14500427246094;Diamantina Lakes;AU;OC
HIS;Hayman Island Resort Seaplane Base;-20,059999465942383;148,88099670410156;Hayman Island;AU;OC
HLV;Helenvale Airport;-15,685799598693848;145,21499633789062;Helenvale;AU;OC
KBD;Kimberley Downs Airport;-17,39780044555664;124,3550033569336;Kimberley Downs;AU;OC
KGR;Kulgera Airport;-25,84280014038086;133,29200744628906;Kulgera;AU;OC
MYO;Camballin Airport;-18,12470054626465;124,27200317382812;Myroodah;AU;OC
OKB;Orchid Beach Airport;-24,959400177002;153,31500244141;Orchid Beach;AU;OC
PEP;Peppimenarti Airport;-14,144200325;130,091003418;Peppimenarti;AU;OC
RDA;Rockhampton Downs Airport;-18,95330047607422;135,2010040283203;Rockhampton Downs;AU;OC
SSK;Sturt Creek Airport;-19,166400909423828;128,1739959716797;Sturt Creek;AU;OC
SWB;Shaw River Airport;-21,510299682617188;119,36199951171876;Shaw River;AU;OC
TPR;Tom Price Airport;-22,746000289900003;117,869003296;Tom Price;AU;OC
TWP;Torwood Airport;-17,363300323486328;143,75;Torwood;AU;OC
ZVG;Springvale Airport;-17,78689956665039;127,66999816894533;Springvale;AU;OC
BCZ;Milyakburra Airport;-13,7808333333;136,201666667;Bickerton Island;AU;OC
HKV;Malevo Airport;41,871799469;25,6047992706;Haskovo;BG;EU
JAM;Bezmer Air Base;42,4548988342;26,3521995544;Yambol;BG;EU
BHT;Brighton Downs Airport;-23,3638888889;141,562777778;;AU;OC
AEY;Akureyri Airport;65,66000366210938;-18,07270050048828;Akureyri;IS;EU
BIU;Bildudalur Airport;65,64129638671875;-23,546199798583984;Bildudalur;IS;EU
BGJ;Borgarfjörður eystri Airport;65,51640319824219;-13,80500030517578;Borgarfjörður eystri;IS;EU
BJD;Bakkafjörður Airport;66,02189636230469;-14,824399948120115;Bakkafjörður;IS;EU
BLO;Hjaltabakki Airport;65,6449966430664;-20,287500381469727;Blönduós;IS;EU
BQD;Búðardalur Airport;65,07530212402344;-21,80030059814453;Búðardalur;IS;EU
BXV;Breiðdalsvík Airport;64,790037;-14,043927;Breiðdalsvík;IS;EU
DJU;Djúpivogur Airport;64,642372;-14,277297;Djúpivogur;IS;EU
EGS;Egilsstaðir Airport;65,2833023071289;-14,401399612426758;Egilsstaðir;IS;EU
FAS;Fáskrúðsfjörður Airport;64,931456;-14,047957;Fáskrúðsfjörður;IS;EU
FAG;Fagurhólsmýri Airport;63,874698638916016;-16,64109992980957;Fagurhólsmýri;IS;EU
GUU;Grundarfjörður Airport;64,99140167236328;-23,22470092773437;Grundarfjörður;IS;EU
GJR;Gjögur Airport;65,99530029296875;-21,32690048217773;Gjögur;IS;EU
GRY;Grímsey Airport;66,5458;-18,0173;Grímsey;IS;EU
HVK;Hólmavík Airport;65,70469665527344;-21,696399688720703;Hólmavík;IS;EU
HFN;Hornafjörður Airport;64,295601;-15,2272;Höfn;IS;EU
FLI;Holt Airport;66,0141804294;-23,4416913986;Flateyri;IS;EU
HZK;Húsavík Airport;65,952301;-17,426001;Húsavík;IS;EU
HVM;Krókstaðarmelar Airport;65,26640319824219;-20,846900939941406;Hvammstangi;IS;EU
HLO;Ingjaldssanður Airport;66,05000305175781;-23,69610023498535;Onundarfjörður;IS;EU
IFJ;Ísafjörður Airport;66,05809783935547;-23,135299682617188;Ísafjörður;IS;EU
KEF;Keflavik International Airport;63,985001;-22,6056;Reykjavík;IS;EU
OPA;Kópasker Airport;66,31079864501953;-16,466699600219727;Kópasker;IS;EU
SAK;Sauðárkrókur Airport;65,73169708249999;-19,5727996826;Sauðárkrókur;IS;EU
NOR;Norðfjörður Airport;65,13189697265625;-13,746399879455566;Norðfjörður;IS;EU
OFJ;Ólafsfjörður Airport;66,08329772949219;-18,66670036315918;Ólafsfjörður;IS;EU
PFJ;Patreksfjörður Airport;65,555801;-23,965;Patreksfjörður;IS;EU
RHA;Reykhólar Airport;65,45262908935547;-22,20611572265625;Reykhólar;IS;EU
OLI;Rif Airport;64,9113998413;-23,8230991364;Rif;IS;EU
RFN;Raufarhöfn Airport;66,40640258789062;-15,918299674987791;Raufarhöfn;IS;EU
RKV;Reykjavik Airport;64,1299972534;-21,9405994415;Reykjavik;IS;EU
MVA;Reykjahlíð Airport;65,65579986572266;-16,918100357055664;Myvatn;IS;EU
SIJ;Siglufjörður Airport;66,137847;-18,908157;Siglufjörður;IS;EU
SYK;Stykkishólmur Airport;65,05809783935547;-22,7942008972168;Stykkishólmur;IS;EU
TEY;Þingeyri Airport;65,87030029296875;-23,559999465942383;Þingeyri;IS;EU
THO;Þórshöfn Airport;66,218498;-15,3356;Þórshöfn;IS;EU
VEY;Vestmannaeyjar Airport;63,42430114746094;-20,27890014648437;Vestmannaeyjar;IS;EU
VPN;Vopnafjörður Airport;65,72059631347656;-14,850600242614746;Vopnafjörður;IS;EU
PRN;Priština Adem Jashari International Airport;42,5728;21,035801;Prishtina;XK;EU
TXC;Orsha Airport - Balbasovo Air Base;54,439999;30,2967;Orsha;BY;EU
CBC;Cherrabun Airport;-18,917777777800005;125,537777778;;AU;OC
HDB;Heidelberg Army Helicopter Base;49,392397;8,651935;Heidelberg;DE;EU
PHM;Böblingen Flugfeld;48,689544;8,996193;Böblingen;DE;EU
ANR;Antwerp International Airport (Deurne);51,1894;4,46028;Antwerp;BE;EU
BRU;Brussels Airport;50,9014015198;4,48443984985;Brussels;BE;EU
CRL;Brussels South Charleroi Airport;50,459202;4,45382;Brussels;BE;EU
KJK;Wevelgem Airport;50,8172;3,20472;Wevelgem;BE;EU
LGG;Liège Airport;50,637402;5,44322;Liège;BE;EU
OST;Ostend-Bruges International Airport;51,1998;2,874673;Ostend;BE;EU
OBL;Zoersel (Oostmalle) Airfield;51,2647;4,754505;Zoersel;BE;EU
AOC;Altenburg-Nobitz Airport;50,981945;12,506389;Altenburg;DE;EU
HDF;Heringsdorf Airport;53,8787002563;14,152299881;Heringsdorf;DE;EU
IES;Riesa-Göhlis Airport;51,2936096191;13,3561105728;Riesa;DE;EU
REB;Rechlin-Lärz Airport;53,306388855;12,7522220612;Lärz;DE;EU
CSO;Cochstedt Airport;51,8563995361;11,42029953;Magdeburg;DE;EU
BBH;Barth Airport;54,338253;12,710515;;DE;EU
ZMG;"Magdeburg ""City"" Airport";52,073612;11,626389;Magdeburg;DE;EU
FNB;Neubrandenburg Airport;53,6022;13,306;Neubrandenburg;DE;EU
CBU;Cottbus-Drewitz Airport;51,889442;14,531944;Cottbus;DE;EU
GTI;Flugplatz Güttin / Rügen;54,383331;13,325556;Rügen;DE;EU
KOQ;Köthen Airport;51,7211112976;11,9527778625;Köthen;DE;EU
PEF;Peenemünde Airport;54,1577796936;13,774443626399998;Peenemünde;DE;EU
BER;Berlin Brandenburg Airport;52,362247;13,500672;Berlin;DE;EU
DRS;Dresden Airport;51,134123;13,767831;Dresden;DE;EU
ERF;Erfurt Airport;50,97980117797852;10,958100318908691;Erfurt;DE;EU
FRA;Frankfurt am Main Airport;50,036249;8,559294;Frankfurt am Main;DE;EU
FMO;Münster Osnabrück Airport;52,134602;7,68483;Münster;DE;EU
HAM;Hamburg Helmut Schmidt Airport;53,630402;9,98823;Hamburg;DE;EU
CGN;Cologne Bonn Airport;50,8658981323;7,1427397728;Cologne;DE;EU
DUS;Düsseldorf Airport;51,289501;6,76678;Düsseldorf;DE;EU
MUC;Munich Airport;48,353802;11,7861;Munich;DE;EU
NUE;Nuremberg Airport;49,498699;11,078056;Nuremberg;DE;EU
LEJ;Leipzig/Halle Airport;51,423889;12,236389;Leipzig;DE;EU
SCN;Saarbrücken Airport;49,2145996094;7,10950994492;Saarbrücken;DE;EU
STR;Stuttgart Airport;48,6898994446;9,22196006775;Stuttgart;DE;EU
TXL;Berlin-Tegel Otto Lilienthal Airport;52,5597;13,2877;Berlin;DE;EU
HAJ;Hannover Airport;52,461101532;9,68507957458;Hannover;DE;EU
BRE;Bremen Airport;53,047501;8,78667;Bremen;DE;EU
HHN;Frankfurt-Hahn Airport;49,9487;7,26389;Frankfurt am Main;DE;EU
MHG;Mannheim-City Airport;49,473057;8,514167;Mannheim;DE;EU
EIB;Eisenach-Kindel Airport;50,991604;10,47973;Eisenach;DE;EU
SGE;Siegerland Airport;50,70769882202149;8,082969665527344;;DE;EU
IZE;Itzehoe/Hungriger Wolf Airfield;53,992009;9,576409;Itzehoe;DE;EU
XFW;Hamburg-Finkenwerder Airport;53,5352783203125;9,835556030273438;Hamburg;DE;EU
KEL;Kiel-Holtenau Airport;54,379444;10,145278;Kiel;DE;EU
LBC;Lübeck Blankensee Airport;53,8054008484;10,7192001343;Lübeck;DE;EU
EUM;Neumünster Airport;54,07944488525391;9,941389083862305;Neumünster;DE;EU
FMM;Memmingen Allgau Airport;47,9888000488;10,2395000458;Memmingen;DE;EU
AAH;Aachen-Merzbrück Airport;50,823055;6,186389;Aachen;DE;EU
BNJ;Bonn-Hangelar Airport;50,7688903809;7,16333293915;Bonn;DE;EU
ESS;Essen Mülheim Airport;51,402302;6,93733;;DE;EU
BFE;Bielefeld Airport;51,964722;8,544444;Bielefeld;DE;EU
MGL;Mönchengladbach Airport;51,230278;6,504444;Mönchengladbach;DE;EU
PAD;Paderborn Lippstadt Airport;51,6141014099;8,616319656369999;Paderborn;DE;EU
NRN;Weeze Airport;51,6024017334;6,14216995239;Weeze;DE;EU
DTM;Dortmund Airport;51,518299;7,61224;Dortmund;DE;EU
AGB;Augsburg Airport;48,425278;10,931667;Augsburg;DE;EU
OBF;Oberpfaffenhofen Airport;48,081402;11,2831;Weßling;DE;EU
RBM;Straubing Airport;48,90083312988281;12,516667366027832;Straubing;DE;EU
FDH;Friedrichshafen Airport;47,6712989807;9,51148986816;Friedrichshafen;DE;EU
SZW;Schwerin Parchim Airport;53,426998;11,7834;;DE;EU
BYU;Bayreuth Airport;49,985001;11,64;Bayreuth;DE;EU
URD;Burg Feuerstein Airport;49,794166564941;11,133610725403;Ebermannstadt;DE;EU
GHF;Giebelstadt Airport;49,6480560303;9,966388702390002;Giebelstadt;DE;EU
HOQ;Hof-Plauen Airport;50,288612;11,856389;Hof;DE;EU
BBJ;Bitburg Airport;49,945278;6,565;Bitburg;DE;EU
ZQW;Zweibrücken Airport;49,2094;7,40056;Zweibrücken;DE;EU
FKB;Karlsruhe Baden-Baden Airport;48,7794;8,0805;Baden-Baden;DE;EU
LHA;Lahr Airport;48,3693008423;7,82772016525;;DE;EU
BWE;Braunschweig-Wolfsburg Airport;52,319199;10,5561;Braunschweig;DE;EU
KSF;Kassel-Calden Airport;51,417273;9,384967;Kassel;DE;EU
BRV;Bremerhaven Airport;53,506943;8,572778;Bremerhaven;DE;EU
XLW;Lemwerder Airport;53,144699;8,62444;Lemwerder;DE;EU
EME;Emden Airport;53,391109;7,2275;Emden;DE;EU
AGE;Wangerooge Airport;53,78277969360352;7,913888931274414;Wangerooge;DE;EU
WVN;Wilhelmshaven-Mariensiel Airport;53,502220153808594;8,05222225189209;Wilhelmshaven;DE;EU
JUI;Juist Airport;53,68111038208008;7,055832862854004;Juist;DE;EU
LGO;Langeoog Airport;53,74250030517578;7,497777938842773;Langeoog;DE;EU
BMK;Borkum Airport;53,59639;6,709167;Borkum;DE;EU
NOD;Norden-Norddeich Airport;53,6330566406;7,19027805328;Norddeich;DE;EU
VAC;Varrelbusch Airport;52,908333;8,040556;Cloppenburg;DE;EU
NRD;Norderney Airport;53,706944;7,23;Norderney;DE;EU
BMR;Baltrum Airport;53,72472381591797;7,373332977294922;Baltrum;DE;EU
HEI;Heide-Büsum Airport;54,1533317566;8,90166664124;Büsum;DE;EU
FLF;Flensburg-Schäferhaus Airport;54,77333450317383;9,378889083862305;Flensburg;DE;EU
HGL;Helgoland-Düne Airport;54,1852798462;7,91583299637;Helgoland;DE;EU
QHU;Husum-Schwesing Airport;54,5099983215;9,13833332062;Husum;DE;EU
PSH;St. Peter-Ording Airport;54,30888748168945;8,686944007873535;Sankt Peter-Ording;DE;EU
GWT;Westerland Sylt Airport;54,9132003784;8,34047031403;Westerland;DE;EU
OHR;Wyk auf Föhr Airport;54,68444442749024;8,528332710266113;Wyk auf Föhr;DE;EU
KDL;Kärdla Airport;58,99079895019531;22,830699920654297;Kärdla;EE;EU
URE;Kuressaare Airport;58,22990036010742;22,50950050354004;Kuressaare;EE;EU
EPU;Pärnu Airport;58,41899871826172;24,47279930114746;Pärnu;EE;EU
TLL;Lennart Meri Tallinn Airport;59,41329956049999;24,8327999115;Tallinn;EE;EU
TAY;Tartu Airport;58,307499;26,690399;Tartu;EE;EU
ENF;Enontekio Airport;68,362602233887;23,424299240112;Enontekio;FI;EU
KEV;Halli Airport;61,856039;24,786686;Jämsä;FI;EU
HEM;Helsinki Malmi Airport;60,254601;25,042801;Helsinki;FI;EU
HEL;Helsinki Vantaa Airport;60,3172;24,963301;Helsinki;FI;EU
HYV;Hyvinkää Airfield;60,6544;24,8811;Hyvinkää;FI;EU
KTQ;Kitee Airport;62,1661;30,073601;Kitee;FI;EU
IVL;Ivalo Airport;68,607299804688;27,405300140381;Ivalo;FI;EU
JOE;Joensuu Airport;62,662899;29,6075;Joensuu / Liperi;FI;EU
JYV;Jyväskylä Airport;62,399502;25,678301;Jyväskylän Maalaiskunta;FI;EU
KAU;Kauhava Airfield;63,127102;23,051399;Kauhava;FI;EU
KEM;Kemi-Tornio Airport;65,778701782227;24,582099914551;Kemi / Tornio;FI;EU
KAJ;Kajaani Airport;64,2855;27,6924;Kajaani;FI;EU
KHJ;Kauhajoki Airfield;62,463212;22,390817;;FI;EU
KOK;Kokkola-Pietarsaari Airport;63,721199;23,143101;Kokkola / Kruunupyy;FI;EU
KAO;Kuusamo Airport;65,987602;29,239401;Kuusamo;FI;EU
KTT;Kittilä Airport;67,700996398926;24,846799850464;Kittilä;FI;EU
KUO;Kuopio Airport;63,007099;27,7978;Kuopio / Siilinjärvi;FI;EU
LPP;Lappeenranta Airport;61,044601;28,144743;Lappeenranta;FI;EU
MHQ;Mariehamn Airport;60,1222;19,898199;Mariehamn;FI;EU
