station_id;station_name;station_latitud;station_longitud
71801;Barcelona-Sants;41,37922;2,140624
61307;Cartagena;37,604967;-0,975122
61304;Torre-Pacheco;37,746905;-0,967078
61303;Balsicas-Mar Menor;37,81884;-0,950891
61200;Murcia;37,97465;-1,1299555
62002;Orihuela-Miguel Hernandez;38,0779194;-0,94445
62103;Elche Parque/elx Parc;38,2717784;-0,6952109
60911;Alicante/alacant;38,34445;-0,4950527
60905;Elda-Petrer;38,484879;-0,80109
60902;Villena;38,631738;-0,867689
64100;Xativa;38,9920972;-0,5244888
65000;Valencia-Estacio del Nord;39,4669346;-0,3771842
65300;Castello;39,9882552;-0,0524126
65318;Benicassim;40,0579451;0,0577646
65311;Benicarlo-Penyiscola;40,427639;0,415217
65312;Vinaros;40,471682;0,455727
65402;Laldea-Amposta-Tortosa;40,753542;0,614314
65422;CAMBRILS;41,081648;1,046055
71500;Tarragona;41,111624;1,253214
17000;Madrid-Chamartin;40,4720993;-3,6824687
37606;Badajoz;38,890696;-6,981753
37603;Montijo;38,913539;-6,598577
37500;Merida;38,921503;-6,343794
35400;Caceres;39,461131;-6,385679
30000;Monfrague;39,937464;-6,10091
35206;Navalmoral de La Mata;39,894913;-5,545607
35203;Oropesa de Toledo;39,921746;-5,186137
35200;Talavera de La Reina;39,970674;-4,826512
35105;Torrijos;39,979003;-4,283037
18000;Madrid - Atocha Cercanias;40,4061556;-3,6889579
35001;Leganes;40,3286349;-3,7711552
56312;Almeria;36,834951;-2,455519
56200;Guadix;37,316873;-3,127209
56009;Cabra del Santo Cristo Y Alicun;37,6567129;-3,262623
56004;Jodar-Ubeda;37,913343;-3,34892
50300;Linares-Baeza;38,068864;-3,589396
60400;Alcazar de San Juan;39,395628;-3,205744
56100;Moreda;37,431216;-3,310516
56301;Finyana;37,184647;-2,839757
56308;Gador;36,951624;-2,487658
11200;Miranda de Ebro;42,691024;-2,940366
13200;Bilbao-Abando Indalecio Prieto;43,259609;-2,92915
13106;Llodio;43,142721;-2,959916
11511;San Sebastian/donostia;43,317669;-1,976704
11208;Vitoria/gasteiz;42,841517;-2,672601
11300;Altsasu/alsasua-Estacion;42,894847;-2,181237
11400;Zumarraga;43,088273;-2,318462
4104;Camp Tarragona;41,192066;1,272666
78400;Lleida;41,620696;0,632669
4040;Zaragoza-Delicias;41,658649;-0,911615
81202;Tudela de Navarra;42,059434;-1,597931
81200;Castejon de Ebro;42,172719;-1,692114
81108;Calahorra;42,310458;-1,957755
81100;Logronyo;42,457459;-2,442193
81002;Haro;42,583635;-2,849396
80100;Pamplona/irunya;42,824877;-1,661419
80108;Tafalla;42,525756;-1,671467
20309;Lugo;43,015222;-7,552176
22100;Ourense;42,350389;-7,872777
20300;Monforte de Lemos;42,529682;-7,503589
20305;Sarria;42,784049;-7,418822
60000;Madrid-Puerta de Atocha;40,406442;-3,690886
4007;Guadalajara - Yebes;40,587315;-3,124301
70600;Calatayud;41,346692;-1,63868
22308;Vigo Guixar;42,239503;-8,711817
11014;Burgos-Rosa de Lima;42,371197;-3,666308
14100;Palencia;42,015711;-4,534135
15009;Sahagun;42,369329;-5,022667
15100;Leon;42,596048;-5,582428
20100;Astorga;42,459489;-6,047212
20111;Bembibre;42,609558;-6,422048
20200;Ponferrada;42,545429;-6,602376
20211;O Barco de Valdeorras;42,418301;-6,98503
20213;A Rua-Petin;42,39276;-7,113284
20216;San Clodio-Quiroga;42,465271;-7,287198
22300;Redondela;42,286005;-8,619402
22200;Guillarei;42,065663;-8,62253
22201;O Porrinyo;42,16419;-8,62202
31412;A Corunya;43,352761;-8,409755
31400;Santiago de Compostela;42,870842;-8,544697
30100;Salamanca;40,972235;-5,64899
